species_name,siteID,year,ba,trees,reg,dbh,growth,n_at_risk,n_died,mort,species
Lithocarpus densiflorus,17,2,0.531295459520704,8.75,8.33333333333333,25.9418666666667,0.110781664033547,35,2,0.0571428571428571,8
Alnus rubra,17,2,0,0,0,,,0,0,,9
Abies amabilis,17,2,0,0,0,,,0,0,,10
other,17,2,0.010742198556867,0.5,0,16.256,0.0233174350821409,2,0,0,11
Pseudotsuga menziesii,18,1,3.52410998052477,2,4.16666666666667,148.918083333333,0.00927272873433288,7,0,0,1
Pinus ponderosa,18,1,0,0,0,,,0,0,,2
Pinus contorta,18,1,0,0,0,,,0,0,,3
Abies concolor,18,1,0,0,0,,,0,0,,4
Abies grandis,18,1,0,0,0,,,0,0,,5
Tsuga heterophylla,18,1,0,0,0,,,0,0,,6
Tsuga mertensiana,18,1,0,0,0,,,0,0,,7
Lithocarpus densiflorus,18,1,0.720895264049406,4.5,0,37.9941666666667,0.0927059427757536,0,0,,8
Alnus rubra,18,1,0,0,0,,,0,0,,9
Abies amabilis,18,1,0,0,0,,,0,0,,10
other,18,1,0.0227460987366867,0.25,0,34.036,0,4,0,0,11
Pseudotsuga menziesii,18,2,3.05156218613063,1.75,0,149.86,0.0134258772623678,8,1,0.125,1
Pinus ponderosa,18,2,0,0,0,,,0,0,,2
Pinus contorta,18,2,0,0,0,,,0,0,,3
Abies concolor,18,2,0,0,0,,,0,0,,4
Abies grandis,18,2,0,0,0,,,0,0,,5
Tsuga heterophylla,18,2,0,0,0,,,0,0,,6
Tsuga mertensiana,18,2,0,0,0,,,0,0,,7
Lithocarpus densiflorus,18,2,0.806546562778651,4.5,0,40.5680333333333,0.0641087023561322,17,0,0,8
Alnus rubra,18,2,0,0,0,,,0,0,,9
Abies amabilis,18,2,0,0,0,,,0,0,,10
other,18,2,0,0,0,,,0,0,,11
Pseudotsuga menziesii,19,1,2.51211633680864,8,8.33333333333333,55.2208095238095,0.0528341437804564,31,1,0.032258064516129,1
Pinus ponderosa,19,1,0,0,0,,,0,0,,2
Pinus contorta,19,1,0,0,0,,,0,0,,3
Abies concolor,19,1,0,0,0,,,0,0,,4
Abies grandis,19,1,0,0,0,,,0,0,,5
Tsuga heterophylla,19,1,0,0,0,,,0,0,,6
Tsuga mertensiana,19,1,0,0,0,,,0,0,,7
Lithocarpus densiflorus,19,1,0.314313182821573,5.5,4.16666666666667,28.0634722222222,0.034330224960208,21,0,0,8
Alnus rubra,19,1,0,0,0,,,0,0,,9
Abies amabilis,19,1,0,0,0,,,0,0,,10
other,19,1,0.078871552658921,2.5,0,19.82216,0.0216672915319974,11,1,0.0909090909090909,11
